"precinct","type","candidate","votes","party","office"
"Manor Twp - Leisure Dist","total","Sanders",56,"OTHER","President"
"Manor Twp - Leisure Dist","total","Biden",334,"DEM","President"
"Manor Twp - Leisure Dist","total","Gabbard",6,"OTHER","President"
"Manor Twp - Leisure Dist","total","Write-In",7,"OTHER","President"
"Manor Twp - Manor New Dist","total","Sanders",43,"OTHER","President"
"Manor Twp - Manor New Dist","total","Biden",112,"DEM","President"
"Manor Twp - Manor New Dist","total","Gabbard",3,"OTHER","President"
"Manor Twp - Manor New Dist","total","Write-In",9,"OTHER","President"
"Manor Twp - Washington Boro Dist","total","Sanders",10,"OTHER","President"
"Manor Twp - Washington Boro Dist","total","Biden",40,"DEM","President"
"Manor Twp - Washington Boro Dist","total","Gabbard",2,"OTHER","President"
"Manor Twp - Washington Boro Dist","total","Write-In",3,"OTHER","President"
"Manor Twp - West Lancaster Dist","total","Sanders",50,"OTHER","President"
"Manor Twp - West Lancaster Dist","total","Biden",242,"DEM","President"
"Manor Twp - West Lancaster Dist","total","Gabbard",9,"OTHER","President"
"Manor Twp - New East Dist","total","Sanders",68,"OTHER","President"
"Manor Twp - New East Dist","total","Biden",272,"DEM","President"
"Manor Twp - New East Dist","total","Gabbard",5,"OTHER","President"
"Manor Twp - New East Dist","total","Write-In",9,"OTHER","President"
"Manor Twp - Hershey Mill Dist","total","Sanders",39,"OTHER","President"
"Manor Twp - Hershey Mill Dist","total","Biden",123,"DEM","President"
"Manor Twp - Hershey Mill Dist","total","Gabbard",1,"OTHER","President"
"Martic Twp - Marticville Dist","total","Sanders",32,"OTHER","President"
"Martic Twp - Marticville Dist","total","Biden",131,"DEM","President"
"Martic Twp - Marticville Dist","total","Gabbard",5,"OTHER","President"
"Martic Twp - Marticville Dist","total","Write-In",8,"OTHER","President"
"Martic Twp - Holtwood Dist","total","Sanders",15,"OTHER","President"
"Martic Twp - Holtwood Dist","total","Biden",67,"DEM","President"
"Martic Twp - Holtwood Dist","total","Gabbard",3,"OTHER","President"
"Martic Twp - Holtwood Dist","total","Write-In",1,"OTHER","President"
"Mount Joy Twp - Milton Grove Dist","total","Sanders",51,"OTHER","President"
"Mount Joy Twp - Milton Grove Dist","total","Biden",162,"DEM","President"
"Mount Joy Twp - Milton Grove Dist","total","Gabbard",2,"OTHER","President"
"Mount Joy Twp - Milton Grove Dist","total","Write-In",5,"OTHER","President"
"Mount Joy Twp - Fairview","total","Sanders",30,"OTHER","President"
"Mount Joy Twp - Fairview","total","Biden",74,"DEM","President"
"Mount Joy Twp - Fairview","total","Gabbard",4,"OTHER","President"
"Mount Joy Twp - Fairview","total","Write-In",1,"OTHER","President"
"Mount Joy Twp - Cloverleaf","total","Sanders",49,"OTHER","President"
"Mount Joy Twp - Cloverleaf","total","Biden",186,"DEM","President"
"Mount Joy Twp - Cloverleaf","total","Gabbard",8,"OTHER","President"
"Mount Joy Twp - Cloverleaf","total","Write-In",7,"OTHER","President"
"Mount Joy Twp - Hershey Road","total","Sanders",55,"OTHER","President"
"Mount Joy Twp - Hershey Road","total","Biden",132,"DEM","President"
"Mount Joy Twp - Hershey Road","total","Gabbard",5,"OTHER","President"
"Mount Joy Twp - Hershey Road","total","Write-In",1,"OTHER","President"
"Paradise Twp","total","Sanders",29,"OTHER","President"
"Paradise Twp","total","Biden",121,"DEM","President"
"Paradise Twp","total","Gabbard",7,"OTHER","President"
"Paradise Twp","total","Write-In",3,"OTHER","President"
"Penn Twp - Junction Dist","total","Sanders",74,"OTHER","President"
"Penn Twp - Junction Dist","total","Biden",189,"DEM","President"
"Penn Twp - Junction Dist","total","Gabbard",5,"OTHER","President"
"Penn Twp - Junction Dist","total","Write-In",8,"OTHER","President"
"Penn Twp - South Penn Dist","total","Sanders",42,"OTHER","President"
"Penn Twp - South Penn Dist","total","Biden",172,"DEM","President"
"Penn Twp - South Penn Dist","total","Gabbard",5,"OTHER","President"
"Penn Twp - South Penn Dist","total","Write-In",1,"OTHER","President"
"Penn Twp - Penryn","total","Sanders",18,"OTHER","President"
"Penn Twp - Penryn","total","Biden",74,"DEM","President"
"Penn Twp - Penryn","total","Gabbard",2,"OTHER","President"
"Pequea Twp - West Willow Dist","total","Sanders",48,"OTHER","President"
"Pequea Twp - West Willow Dist","total","Biden",174,"DEM","President"
"Pequea Twp - West Willow Dist","total","Gabbard",3,"OTHER","President"
"Pequea Twp - West Willow Dist","total","Write-In",1,"OTHER","President"
"Pequea Twp - New Danville Dist","total","Sanders",19,"OTHER","President"
"Pequea Twp - New Danville Dist","total","Biden",64,"DEM","President"
"Pequea Twp - New Danville Dist","total","Gabbard",4,"OTHER","President"
"Pequea Twp - New Danville Dist","total","Write-In",1,"OTHER","President"
"Providence Twp - East Dist","total","Sanders",39,"OTHER","President"
"Providence Twp - East Dist","total","Biden",109,"DEM","President"
"Providence Twp - East Dist","total","Gabbard",6,"OTHER","President"
"Providence Twp - East Dist","total","Write-In",4,"OTHER","President"
"Providence Twp - West Dist","total","Sanders",27,"OTHER","President"
"Providence Twp - West Dist","total","Biden",81,"DEM","President"
"Providence Twp - West Dist","total","Gabbard",4,"OTHER","President"
"Providence Twp - West Dist","total","Write-In",4,"OTHER","President"
"Rapho Twp - Sporting Hill Dist","total","Sanders",21,"OTHER","President"
"Rapho Twp - Sporting Hill Dist","total","Biden",62,"DEM","President"
"Rapho Twp - Sporting Hill Dist","total","Gabbard",3,"OTHER","President"
"Rapho Twp - Elm Tree I Dist","total","Sanders",14,"OTHER","President"
"Rapho Twp - Elm Tree I Dist","total","Biden",75,"DEM","President"
"Rapho Twp - Elm Tree I Dist","total","Gabbard",4,"OTHER","President"
"Rapho Twp - Union Square Dist","total","Sanders",15,"OTHER","President"
"Rapho Twp - Union Square Dist","total","Biden",80,"DEM","President"
"Rapho Twp - Union Square Dist","total","Gabbard",8,"OTHER","President"
"Rapho Twp - Union Square Dist","total","Write-In",2,"OTHER","President"
"Rapho Twp - Elm Tree II Dist","total","Sanders",26,"OTHER","President"
"Rapho Twp - Elm Tree II Dist","total","Biden",211,"DEM","President"
"Rapho Twp - Elm Tree II Dist","total","Gabbard",7,"OTHER","President"
"Rapho Twp - Elm Tree II Dist","total","Write-In",3,"OTHER","President"
"Rapho Twp - Willow Creek Dist","total","Sanders",33,"OTHER","President"
"Rapho Twp - Willow Creek Dist","total","Biden",196,"DEM","President"
"Rapho Twp - Willow Creek Dist","total","Gabbard",6,"OTHER","President"
"Rapho Twp - Willow Creek Dist","total","Write-In",4,"OTHER","President"
"Sadsbury Twp","total","Sanders",25,"OTHER","President"
"Sadsbury Twp","total","Biden",97,"DEM","President"
"Sadsbury Twp","total","Gabbard",6,"OTHER","President"
"Sadsbury Twp","total","Write-In",1,"OTHER","President"
"Salisbury Twp - Cambridge Dist","total","Sanders",11,"OTHER","President"
"Salisbury Twp - Cambridge Dist","total","Biden",61,"DEM","President"
"Salisbury Twp - Cambridge Dist","total","Gabbard",3,"OTHER","President"
"Salisbury Twp - Gap Dist","total","Sanders",25,"OTHER","President"
"Salisbury Twp - Gap Dist","total","Biden",84,"DEM","President"
"Salisbury Twp - Gap Dist","total","Gabbard",4,"OTHER","President"
"Salisbury Twp - Gap Dist","total","Write-In",1,"OTHER","President"
"Salisbury Twp - White Horse Dist","total","Sanders",21,"OTHER","President"
"Salisbury Twp - White Horse Dist","total","Biden",68,"DEM","President"
"Salisbury Twp - White Horse Dist","total","Gabbard",3,"OTHER","President"
"Salisbury Twp - White Horse Dist","total","Write-In",1,"OTHER","President"
"Strasburg Twp","total","Sanders",31,"OTHER","President"
"Strasburg Twp","total","Biden",119,"DEM","President"
"Strasburg Twp","total","Gabbard",3,"OTHER","President"
"Strasburg Twp","total","Write-In",3,"OTHER","President"
"Warwick Twp - Brunnerville Dist","total","Sanders",34,"OTHER","President"
"Warwick Twp - Brunnerville Dist","total","Biden",117,"DEM","President"
"Warwick Twp - Brunnerville Dist","total","Gabbard",4,"OTHER","President"
"Warwick Twp - Brunnerville Dist","total","Write-In",1,"OTHER","President"
"Warwick Twp - Kissel Hill Dist","total","Sanders",35,"OTHER","President"
"Warwick Twp - Kissel Hill Dist","total","Biden",205,"DEM","President"
"Warwick Twp - Kissel Hill Dist","total","Gabbard",2,"OTHER","President"
"Warwick Twp - Kissel Hill Dist","total","Write-In",3,"OTHER","President"
"Warwick Twp - Rothsville Dist","total","Sanders",41,"OTHER","President"
"Warwick Twp - Rothsville Dist","total","Biden",101,"DEM","President"
"Warwick Twp - Rothsville Dist","total","Gabbard",4,"OTHER","President"
"Warwick Twp - Rothsville Dist","total","Write-In",2,"OTHER","President"
"Warwick Twp - Woodcrest Dist","total","Sanders",37,"OTHER","President"
"Warwick Twp - Woodcrest Dist","total","Biden",170,"DEM","President"
"Warwick Twp - Woodcrest Dist","total","Gabbard",9,"OTHER","President"
"Warwick Twp - Woodcrest Dist","total","Write-In",5,"OTHER","President"
"Warwick Twp - Clay Newport Dist","total","Sanders",75,"OTHER","President"
"Warwick Twp - Clay Newport Dist","total","Biden",179,"DEM","President"
"Warwick Twp - Clay Newport Dist","total","Gabbard",2,"OTHER","President"
"Warwick Twp - Clay Newport Dist","total","Write-In",1,"OTHER","President"
"Warwick Twp - Hilltop Manor Dist","total","Sanders",14,"OTHER","President"
"Warwick Twp - Hilltop Manor Dist","total","Biden",85,"DEM","President"
"Warwick Twp - Hilltop Manor Dist","total","Gabbard",1,"OTHER","President"
"Warwick Twp - Hilltop Manor Dist","total","Write-In",1,"OTHER","President"
"Warwick Twp - Millport Dist","total","Sanders",23,"OTHER","President"
"Warwick Twp - Millport Dist","total","Biden",69,"DEM","President"
"Warwick Twp - Millport Dist","total","Gabbard",3,"OTHER","President"
"Warwick Twp - Millport Dist","total","Write-In",2,"OTHER","President"
"Warwick Twp - Newport West Dist","total","Sanders",42,"OTHER","President"
"Warwick Twp - Newport West Dist","total","Biden",164,"DEM","President"
"Warwick Twp - Newport West Dist","total","Gabbard",3,"OTHER","President"
"Warwick Twp - Southwest Dist","total","Sanders",31,"OTHER","President"
"Warwick Twp - Southwest Dist","total","Biden",291,"DEM","President"
"Warwick Twp - Southwest Dist","total","Gabbard",5,"OTHER","President"
"Warwick Twp - Southwest Dist","total","Write-In",3,"OTHER","President"
"Totals","total","Sanders",9500,"OTHER","President"
"Totals","total","Biden",32433,"DEM","President"
"Totals","total","Gabbard",974,"OTHER","President"
"Totals","total","Write-In",665,"OTHER","President"
